Modelo;Descripcion;Cant;Categoria;Cod barras;FECHA;
DS-2CD1047G2H-LIUF;[Dual Light + ColorVu] Bala IP 4 Megapixel / Lente 2.8 mm / 30 mts IR + 30 mts Luz Blanca / Micrófono Integrado / ACUSENSE Lite / Exterior IP67 / dWDR / PoE / Micro SD;1;CCTV;;03/02/2026;
DS-2CD1T67G2H-LIUF;[Dual Light + ColorVu] Bala IP 6 Megapixel / Lente 4 mm / 50 mts IR + 50 mts Luz Blanca / Micrófono Integrado / ACUSENSE Lite / Exterior IP67 / WDR 120 dB / PoE / Micro SD;1;CCTV;;03/02/2026;
DS-2CE16H0T-ITF;Bala TURBOHD 5 Megapixel / Lente 2.8 mm / 4 Tecnologías (TVI / AHD / CVI / CVBS) / 30 mts SMART IR EXIR / Exterior IP67 / dWDR / Metal;2;CCTV;;03/02/2026;
DS-2CE16K0T-LFS;[Dual Light + ColorVu] Bala TURBOHD 3K (5 Megapixel) / Lente 2.8 mm / 30 mts IR + 20 mts Luz Blanca / Gran Angular 104.9° / Exterior IP67 / Micrófono Integrado / dWDR / 4 Tecnologías / Metal;6;CCTV;;06/02/2026;
DS-2CE78D0T-LTS;[Audio Bidireccional + Dual Light + ColorVu] Turret TURBOHD 2 Megapixel (1080p) / Lente 2.8 mm / 40 mts IR EXIR + 40 mts Luz Blanca / Micrófono y Bocina Integrado / Exterior IP67 / dWDR;1;CCTV;;03/02/2026;
DS-2CD2935FWD-I;Cámara de red de domo fijo Fisheye de 3 MP;1;CCTV;;03/02/2026;
DS-2CE57D3T-VPITF;Domo TURBOHD 2 Megapixel (1080p) / Lente 2.8 mm / 30 mts IR EXIR / TVI-AHD-CVI-CVBS / IK10 / IP67 / WDR 120 dB / Ultra Baja Iluminación / Metal;2;CCTV;;03/02/2026;
DS-KB8113-IME1(B);Frente de Calle IP 2 Megapixel / Uso Rudo / Antivandálico IK09 y Exterior IP65 / PoE Estándar / 3 mts IR / Compatible con Monitor IP HIKVISION o Llamada Directo a App;1;CCTV;;03/02/2026;
DS-2CE76D0T-LMFS;[Dual Light + ColorVu] Turret TURBOHD 2 Megapixel (1080p) / Lente 2.8 mm / 30 mts IR + 20 mts Luz Blanca / Gran Angular 101° / Exterior IP67 / Micrófono Integrado / 4 Tecnologías / Metal;1;CCTV;;03/02/2026;
CS-H3C;Bala WiFi / 2 Megapixel / Detección humana / Micrófono Integrado / Micro SD / Excelente Vision Nocturna / Exterior;4;CCTV;;03/02/2026;
CS-H8C;Camara PT WiFi / 2 Megapixel / Cobertura 360° / Detección humana / Seguimiento Inteligente / Sirena / Luz Parpadeante / Colores en Oscuridad / Micro SD / Audio de Dos Vías / Exterior Con Protección;8;CCTV;;03/02/2026;
CS-H6C/5MP;Cámara PT / Resolución 3K (5 Megapixel) / Visión Nocturna Inteligente en Color / Detección de Forma Humana Inteligente / Almacenamiento en MicroSD y Nube;3;CCTV;;03/02/2026;
DH-H3A;Cámara IP Domo Motorizado Wifi de 3 Megapíxeles con IA, autotracking, audio bidireccional (micrófono y altavoz), sirena integrada, IR de 10 m, detección de humanos y ranura MicroSD;1;CCTV;;03/02/2026;
THC-B129-PS;[ColorVu] Bala TURBOHD 2 Megapixel (1080p) / Imagen a Color 24/7 / Lente 2.8 mm / Luz Blanca 20 mts / IP66 / Policarbonato / Microfono Integrado;16;CCTV;6931847181505;03/02/2026;
THC-B129-MS;[ColorVu] Bala TURBOHD 2 Megapixel (1080p) / Imagen a Color 24/7 / Lente 2.8 mm / Microfono Integrado / Luz Blanca 20 mts / IP66 / Metálica;3;CCTV;6931847181529;03/02/2026;
THC-B120-PC;Bala TURBOHD 2 Megapíxeles (1080p) / Gran Angular 103° / Lente 2.8 mm / IR EXIR Inteligente 20 mts / Exterior IP66 / dWDR / TVI-AHD-CVI-CVBS;10;CCTV;;03/02/2026;
THC-T220-M;Turret TURBOHD 2 Megapíxel (1080p) / Lente 2.8 mm / 40 mts IR EXIR / 4 Tecnologías (TVI / AHD / CVI / CVBS) / IP66;5;CCTV;;03/02/2026;
THC-T120-PC;Turret TURBOHD 2 Megapíxel (1080p) / Lente 2.8 mm / 20 mts IR EXIR / 4 Tecnologías (TVI / AHD / CVI / CVBS) / Uso en Interior;2;CCTV;;03/02/2026;
THC-T227-LTS;[Audio Bidireccional + Dual Light + ColorVu] Turret TURBOHD 2 Megapixel (1080p) / Lente 2.8 mm / 40 mts IR EXIR + 40 mts Luz Blanca / Micrófono y Bocina Integrado / Exterior IP67 / dWDR;8;CCTV;;03/02/2026;
THC-B127-LTS;[Audio Bidireccional + Dual Light + ColorVu] Bala TURBOHD 2 Megapixel (1080p) / Lente 2.8 mm / 30 mts IR EXIR + 20 mts Luz Blanca / Micrófono y Bocina Integrado / Exterior IP67 / Metal / dWDR;8;CCTV;;03/02/2026;
IPC-C320HA-D/W(W);Cubo IP 2 Megapixel / Lente 2.8 mm (Gran Angular) / Audio Bidireccional / WiFi / Memoria Micro SD /AcuSense / Notificacion Push / Interior / H.265+;1;CCTV;;03/02/2026;
