Modelo;Descripcion;Cant;Categoria;Cod barras;FECHA;
DH-IPC-B1E20;Camara IP Bullet de 2 MP, lente 2.8 mm, 99° de visión, IR 30 m, IP67 y PoE. Incluye DWDR, 3D NR, HLC, BLC y compresión H.265+ para videovigilancia eficiente;4;;;03/02/2026;
DH-IPC-HFW1230DT-STW;Cámara IP Bullet Wifi de 2 Megapixeles/ Lente de 2.8 mm/ 100 Grados de Apertura/ IR de 30 Metros/ H.265/ Microfono y Altavoz Integrados/ Ranura MicroSD/ IP67/ Detección de Movimiento;2;;;03/02/2026;
DH-SD3E405DB-GNY-A-PV1;Camara IP PTZ de 4 MP TiOC de 5x de Zoom Optico/ Iluminación Dual Inteligente/ Disuasión Activa con Luz Roja y Azul/ IR de 50 Metros/ Micrófono y Altavoz Integrado/ Audio 2 Vías/ Ranura para MicroSD/ IP66/ PoE;1;;;03/02/2026;
DH-IPC-HDBW1230DE-SW;Camara IP Domo Wifi de 2 Megapixeles/ Lente de 2.8 mm/ 100 Grados de Apertura/ IR de 30 Metros/ Ranura para MicroSD/ IP67/ Antivandalica Ik10/ Detección de Humanos SMD/ Hasta 80 Metros de Alcance en Area Abierta/;1;;;03/02/2026;
DH-IPC-EW5541N-AS;Cámara IP FishEye de 5 MP/WinzMind/ IR de 10 Mts/H.265+/ PoE/ WDR Real/ Micrófono Integrado/ Heat Map/ Detección Inteligente/ Ranura para MicroSD/E&S de Alarma/E&S de Audio/ 3D DNR, HLC, BLC/Interior;1;;;03/02/2026;
DH-P3B-PV;Cámara IP PT WiFi de 3 Megapíxeles con audio bidireccional (micrófono y altavoz), sirena de 110 dB, WiFi 6, detección de personas y vehículos, IP65 y ranura MicroSD.;2;;;03/02/2026;
WD23PURZ;Disco Duro PURPLE de 2TB;4;;;03/02/2026;
WD11PURZ;Disco Duro Purple de 1 TB;5;;;03/02/2026;
NewPull;Disco Duro GENERICO New Pull, 500 GB;7;;;03/02/2026;
WD102PURP;Disco Duro Purple Pro de 10 TB;3;;;03/02/2026;
WD8002PURP;Disco duro WD de 8TB;1;;;03/02/2026;
WD64PURZ;Disco Duro PURPLE de 6TB ;1;;;03/02/2026;
DIY-5M-HD;Cable coaxial ( BNC RG59 ) + Alimentación / SIAMÉS / 5 Metros / 100 % COBRE / Para Cámaras 4K / Uso interior y exterior;3;;;03/02/2026;
DIY-20M-HD;Cable coaxial ( BNC RG59 ) + Alimentación / SIAMÉS / 20 Metros / 100 % COBRE / Para Cámaras 4K / Uso interior y exterior;3;;;03/02/2026;
DIY-50M-HD;Cable coaxial ( BNC RG59 ) + Alimentación / SIAMÉS / 50 Metros / 100 % COBRE / Para Cámaras 4K / Uso interior y exterior;2;;;03/02/2026;
DS-1LH1S2C-10;Cable Coaxial Siames (Mini RG59) + Alimentación / 10 Metros de Distancia / CCA / Soporta 1080p (2 Megapixel) hasta 4K (8 Megapixel) / Uso Interior y Exterior;2;;;03/02/2026;
TT101FTURBOZ;Kit de Transceptores (Baluns) con Terminal PUSH SUPERIOR PIG TAIL en ambos conectores, Resolución 4K , Cable flexible COAXIAL Blindado / COAXITRON / AUDIO POR COAXITRON /Conector 100% COBRE / Calidad PREMIUM;;;;03/02/2026;
BL-1H18;Kit de Transceptor (Balluns) TURBOHD con Boton Push / Hasta 8 MP (4K) / 100% Cobre / Soporta HD-TVI / AHD / CVI / CVBS / Audio por Coaxitron / Datos para Menu de Configurar de Cámaras;;;;03/02/2026;
PSUWB07;Divisor de Energía para 4 Cámaras/ 1 Conector Hembra + 4 Conectores Macho/ 2.1 mm/;30;;;03/02/2026;
PR-10A9CH;Gabinete Fuente de Poder, 9 Canales, 12V/10A;1;;;03/02/2026;
XP18DC30HD;Fuente de Poder Profesional HEAVY DUTY @ 30 Amperes / 18 canales / Hasta 2.5 Amperes por Salida / Protección Contra Sobrecargas / Filtro de Ruido por Canal / Aprobaciones: IEC/EN/UL/CSA, 60950 GB4943.;1;;;03/02/2026;
PSU1220-D16H;Fuente de Poder Profesional de 11 a 15 vcd/ 20 Amperes/ Para 16 Camaras Hasta 4k/ 1.25 Amperes por Canal/ Protección contra Sobrecargas/ Filtro de Ruido por Canal/ Uso rudo/;1;;;03/02/2026;
ABK-703B-S;Cerradura inteligente con cierre automático cuenta con juego de 3 llaves, sensor con luz LED de status o correcto cerrado, apertura con pulso voltaje de 12VDC;1;;;03/02/2026;
ABK901123;Fuente de poder 12V 3A MP / Para contrachapas electricas o magneticas / Tiempo ajustable de 0 a 30 segundos;2;;;03/02/2026;
XP-16DC-20-4KV;Fuente de Poder Profesional HEAVY DUTY @ 20 Amperes / 16 Canales / Hasta 1.25A por Salida / Ajuste Independiente de 11 a 15 Vcc por Salida / Protección Contra Sobrecargas / Filtro de Ruido Especial para Cámaras 4K.;1;;;03/02/2026;
PSU1204-D;Fuente de poder regulada de 12 Vcc 4.1 Amperes/ Con Cable de 1.2 Metros/;4;;;03/02/2026;
PSU1205-D;Fuente de Poder Regulada de 12 Vcc a 5 Amperes/ Ideal para Equipos de Alto Consumo de Corriente;3;TVN083034;;03/02/2026;
P5DC2A;5 Vcc / 2 A / Adaptador de voltaje / Voltaje de Entrada de 100-240 Vca;4;;;03/02/2026;
PL-DC-1000T;Adaptador de Pared de 12Vcc @ 1 A con cable y clavija Nema 1-15 / 0.5 metros a la toma de alimentación / 0.5 metros a la conexión del dispositivo;2;;;03/02/2026;
PSD1202D;Adaptador de Pared de 12 Vcc Regulada / 2 Amp / Voltaje de Entrada de 100 - 240 VCA / Longitud del cable 96 cms.;6;;;03/02/2026;
PSU12005-E;Fuente de Poder Regulada de 12 Vcc 0.5 Amper/ Conector Macho;3;;;03/02/2026;
PL-DC-1000;Adaptador de Pared de 12 Vcc @ 1 Amp Regulado / Uso en Interior / Múltiples Usos / Con cable de 95 cm;7;;;03/02/2026;
RT1230LS;Transformador de Pared 12 Vca 30 VA;1;;;03/02/2026;
P9DC1A;Fuente de Poder Regulada de 9 Vcc @ 1 A / Voltaje de Entrada de 100-240 Vca / Para Usos Múltiples / Video vigilancia, Acceso, Asistencia, Alarmas, Etc. / Certificación NOM;2;;;03/02/2026;
UTP101AT-HD;Transmisor activo 1 canal HDCVI / TVI / A HD / CVBS / 500 M a 720p / 300 M a 1080p;1;;;03/02/2026;
101662;PASTA TERMICA;3;;;03/02/2026;
PC-034094;ALCOHOL ISOPROPILICO 1LT;2;;;03/02/2026;
PC-030331;REMOVEDOR DE POLVO;5;;;03/02/2026;
306119;CABLE HDMI ;10;;;03/02/2026;
M1pro;DashCam, Resolución 1080p, Equipada con Wi-Fi y sensor Gr, Capacidad de MicroSD hasta 128 Gb, Micrófono y altavoz integrados, Configurable desde la App, Visualización local, Consumo 5V CC;2;;;03/02/2026;
PC-S7XN-8M0WED;Cámara IP PT Wifi Dual de 8MP con lente fijo y PT de 3MP, visión nocturna de 30m, micrófono y altavoz integrados, audio bidireccional y inteligencia artificial;2;;;03/02/2026;
IPC-K7CN-5H1WE;Cámara IP PT de 5MP con WiFi Full Color, audio bidireccional, IR 30m, micrófono y altavoz integrados, disuasión activa sirena 110dB, autotracking, ranura MicroSD e IP66;4;;;03/02/2026;
SUA-KIT/XVR1E04-I/4-B20P-0280B;Kit 4 Canales HDCVI 1080P/ 4 Cámaras B20P 2.8mm Apertura Hasta 100°/ Grabador Soporta Hasta 5 Canales IP y Detección de Movimiento Inteligente/ Policarbonato/;1;;;03/02/2026;
DH-HAC-B1A21N-U-IL-A;Cámara Bullet de 2 MP Serie Cooper/ Lente de 2.8 mm Apertura de Hasta 100°/ Iluminación Dual Inteligente 30 Mts IR y 20 Mts Luz Visible/ Micrófono Integrado/ Para Exterior IP67;0;;;03/02/2026;
ST2-64-S1;Memoria MicroSD de 64 Gb IMOU;100;;;03/02/2026;
PS-12-DC-4C;Fuente de Alimentación de 4 Salidas de 11 - 15 Vcc / 5 Amper / Voltaje de Entrada 110- 240 Vac / Fusible Termico PTC Integrado para Protección / Salida de Voltaje Inteligente hasta 3 Amper por Salida;1;;697477291003;03/02/2026;
DS-PDMC-EG2-WB(B);(AX PRO) Contacto Magnético Inalámbrico + 2 ZONAS PARA AGREGAR SENSORES CABLEADOS / 3 en 1 / Soporta 2 Zonas Cableadas;2;ALARMA;6942160434551;03/02/2026;
DS-PM1-RT-HWB;(AX HYBRID PRO) Expansor de 32 Zonas Inalámbricas Tri-X / Conexión Speed-X Bus Hacia el Panel / Permite Agregar Sensores AX PRO;1;ALARMA;6931847180812;03/02/2026;
DS-PDP15P-EG2-WB(B);(AX PRO) Detector PIR Inalámbrico Interior serie AX PRO / Inmunidad a Mascotas / Rango de Detección de 15 mts / Angulo de 85.9° de Cobertura;4;ALARMA;6942160434575;03/02/2026;
DS-KH6320-LE1(B);"Monitor IP Lite TOUCH 7"" para Videoportero IP / Vídeo en Vivo / PoE Estándar / Apertura Remota / Llamada Entre Monitores / Audio de dos vías";1;VIDEO PORTERO;6931847163662;03/02/2026;
DS-PKF1-WB(B);(AX PRO) Control Remoto para Armado y Desarmado / Teclas con Funciones Programables;1;ALARMA;6936422110680;03/02/2026;
DS-PWA48-E-WB;(AX PRO) Panel de Alarma Inalámbrico de Hikvision / Soporta 48 Zonas / Wi-Fi y Ethernet / Incluye Batería de respaldo / Compatible con los Accesorios AX PRO;1;ALARMA;6941264085461;03/02/2026;
DS-PS1-E-WB/B;(AX PRO) Sirena Inalámbrica con Estrobo Azul para Exterior IP65 / 110 Db;1;ALARMA;6941264065197;03/02/2026;
DS-7116HGHI-M1€;DVR 16 Canales TurboHD + 2 Canales IP / 2 Megapixel (1080p) Lite / Acusense Lite (Evita falsas alarmas) / Audio por Coaxitron / 1 Bahía de Disco Duro / H.265+ / Salida de VÌdeo en Full HD;1;CCTV;6942160446578;03/02/2026;
DVR-204G-M1©;DVR 4 Canales TurboHD + 1 Canal IP / 2 Megapíxel (1080p) Lite / Acusense Lite (Evita Falsas Alarmas) / Audio por Coaxitron / 1 Bahía de Disco Duro / H.265+ / Salida de Vídeo Full HD;2;CCTV;6931847171025;03/02/2026;
DS-PS3001;Sirena Cableada / Ideal para Cualquier Panel de Alarma (No Importa la Marca) / 30 Watts / 120 dB de Sonido / Protección IP65 (Exterior) / Material: Policarbonato;2;ALARMA;6942160428468;03/02/2026;
ENERGIZADOR HS;YONUSA HS - Energizador de nueva generación para solución de cerco eléctrico. Cubre 500 metros lineales o 100 metros en 5 lineas. Incluye control remoto (encendido/apagado);1;CERCOS;;03/02/2026;
DS-1M6UA-30U;Bote con 100 Piezas de Plug Modular RJ45 / Cat 6 / Chapado en Oro a 30 Micras / Sin Blindaje / Facil Instalación / Uso Interior / Soporta Norma TIA-568B / Cumple con RoHS 2.0;1;REDES;;03/02/2026;
DS-1M5EUA-30U;Bote con 100 Piezas de Plug Modular RJ45 / Cat 5e / Chapado en Oro a 30 Micras / Sin Blindaje / Facil Instalación / Uso Interior / Soporta Norma TIA-568B / Cumple con RoHS 2.0;3;REDES;;03/02/2026;
TT-101-PV-TURBO;Kit de transceptores activos con conector para alimentación (12V/24Vcc/AC) TurboHD para aplicaciones de video por UTP Cat5e/6 en HD. Distancia de hasta 150 m en 4K;8;CCTV;;03/02/2026;
NS-0105P-35(B);Switch PoE+ / 4 Puertos 10/100 Mbps PoE+ (af / at) / 1 Puerto 10/100 Mbps Uplink / Modo Extendido hasta 250 Metros / 35 Watts;1;REDES;6941264028277;03/02/2026;
THC-T129-MS;[ColorVu] Turret TURBOHD 1080p / Imagen a color 24/7 / Lente 2.8 mm / Micrófono Integrado / Luz Blanca 20 mts / IP66 / Metálica;3;CCTV;6931847181468;03/02/2026;
PTC1640U;Transformador 16VCA / 40VA #cer Fusible Interno para paneles y módulos de NEO, Power Series y Maxsys;4;;;03/02/2026;
ST-2406-2AQ;Fuente de Poder con Cargador Bateria 1.5 amp 6/12/24 VCD;3;;676544009016;03/02/2026;
HL24LQKITS-M(B);KIT TurboHD 1080p / DVR 4 canales / 4 Cámaras Bala de Metal / H.265+ / 1 Fuente de Poder Profesional / Accesorios de Instalación;1;CCTV;;03/02/2026;
OUTPCAT5ECOPEXT100;SAXXON OUTPCAT5ECOPEXT100 - Bobina de 100 Metros de Cable UTP Cat5e 100% Cobre/ Exterior con Doble Forro/ Color Negro/ Ideal para Cableado de Redes de Datos y Video/;1;REDES;TVD119048;03/02/2026;
OUTP5ECCA305BC;SAXXON OUTP5ECCA305BC - Bobina de Cable UTP Cat5e/ 305 Metros/ CCA/ Color Blanco/ Uso Interior/ Cert ISO9001/ UL 444/ RoSH/ ANSI/ TIA/ EI-568B;3;REDES;TVD119080;03/02/2026;
DH-PFM920-5EU;DAHUA PFM920-5EU - Bobina de Cable UTP para Exterior Cat 5e/ 100% Cobre/ 305 Metros/ Color Negro/ Cubierta Exterior MDPE/ Cumple con Estandares ANSI/TIA 568-C.2/ Retardante de Llama/ RoHS/;2;REDES;6939554987205;03/02/2026;
DS-3E1105P-EI/M;Switch PoE+ / Monitoreable / 4 Puertos 10/100 Mbps PoE+ / 1 Puerto 10/100 Mbps Uplink / Configuración Nube Hik-PartnerPro / Modo Extendido hasta 300 Metros / 45 W;1;REDES;6942160449920;03/02/2026;
DS-3E1510P-EI/M;Switch Gigabit PoE+ / Administrable / 8 Puertos 1000 Mbps PoE+ / 2 Puertos 1000 Mbps de Uplink / Configuración Nube Hik-PartnerPro / Modo Extendido hasta 300 Metros / 60 W;1;REDES;6942160450063;03/02/2026;
DS-2CV2021G2-IDW€;Bala IP 2 Megapixel / Lente 2.8 mm / 30 mts IR / Exterior IP66 / Wi-Fi / dWDR / H.265+ / Micrófono y Bocina Interconstruido / MicroSD;1;CCTV;;03/02/2026;
DS-2CE12DF3T-PIRXOS;[ColorVu] Bala TURBOHD 2 Megapixel (1080p) / Imagen a Color 24/7 / Lente 2.8 mm / Luz Blanca 40 mts / Exterior IP67 / WDR 130 dB / Sensor PIR / Sirena Integrada / Salida de Audio Estrobo ROJO - AZUL / Micrófono Integrado;1;CCTV;;03/02/2026;
DS-2CE12D0T-PIRLO;2 MP PIR Fixed Bullet Camera;2;CCTV;;03/02/2026;
DS-2CE56D0T-I2FB;Cámara de Vigilancia Tipo Domo Hikvision DS-2CE56D0T-I2FB de 2MP, IR hasta 20m, IP66;1;CCTV;;03/02/2026;
DS-2CE10DF0T-F;[ColorVu] Bala TURBOHD 2 Megapixel (1080p) / Imagen a Color 24/7 / Lente 2.8 mm / METAL / Luz Blanca 20 mts / Exterior IP67 / TVI-AHD-CVI-CVBS / Dwdr;1;CCTV;;03/02/2026;
DH-HAC-T1A21N-0280B;DAHUA HAC-T1A21-28 - Cámara Domo con resolución 1080p, lente de 2.8 mm y ángulo de visión de 103°, Smart IR de 20 m para mejor visión nocturna, ideal para interiores. Compatible con los formatos CVI, TVI, AHD y CVBS;8;;;;
ACCESSRIMB;;2;;;;
IDS-7208HQHI-M1/XT;DVR 8 Canales TURBOHD + 4 Canales IP / 5 Megapixel Lite - 3K Lite / Audio de Dos Vías por Coaxitron / Reconocimiento Facial / ACUSENSE (Evista falsas alarmas) / 1 Bahía de Disco Duro / Salida de Video en Full HD;1;CCTV;6942160473802;03/02/2026;
THC-T129-MS;[ColorVu] Turret TURBOHD 1080p / Imagen a color 24/7 / Lente 2.8 mm / Micrófono Integrado / Luz Blanca 20 mts / IP66 / Metálica;6;CCTV;6931847181468;;
V300X/1TB;"SSD PARA VIDEOVIGILANCIA / Unidad de Estado Solido / 1 TB / 2.5"" / Alto Performance / Uso 24/7 / Compatible con DVR´s y NVR´s epcom / HiLook y HIKVISION (Seleccionados) / Incluye Base";7;CCTV;6976695090340;;
DS-PDMCS-EG2-WB(B);(AX PRO) Contacto Magnético Inalámbrico Slim / Uso en Interior / LED Indicador / Tamper;3;ALARMA;6936422110734;;
DS-PS3001;Sirena Cableada / Ideal para Cualquier Panel de Alarma (No Importa la Marca) / 30 Watts / 120 dB de Sonido / Protección IP65 (Exterior) / Material: Policarbonato;9;ALARMA;;;
DS-1280ZJ-XS;Caja de Conexiones de Metal / Compatible con DS-2CD20XX, B8-TURBOGXX, THC-B120-XX,, THC-BXX, THC-TXX;16;CCTV;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
